Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
reg,33,18,7.5415673,6.5356956,"lars aagaard, 0.0118, 3, 19 ; renewable energy, 0.0115, 7, 18 ; klaus vesløv, 0.0113, 2, 8 ; self sufficient, 0.0102, 0, 0 ; 10 years, 0.0096, 1, 1",0.1667,0.0,lars aagaard ; renewable energy ; klaus vesløv ; self sufficient ; 10 years
reg,34,8,7.499162,6.9518423,"kim søgaard mikkelsen, 0.0296, 2, 7 ; project manager, 0.0224, 3, 7 ; bornholm museum, 0.0224, 1, 2 ; feasibility studies, 0.0224, 3, 7 ; land facility, 0.0213, 4, 7",0.2917,1.0,kim søgaard mikkelsen ; project manager ; bornholm museum ; feasibility studies ; land facility
reg,35,20,6.5012646,7.561294,"local plan, 0.0265, 9, 18 ; high voltage station, 0.0233, 6, 12 ; bornholm museum, 0.0229, 4, 9 ; land facility, 0.0228, 9, 17 ; land plant, 0.0209, 10, 20",0.346,1.0,local plan ; high voltage station ; bornholm museum ; land facility ; land plant
reg,36,2,7.334609,6.843272,"peter juel jensen, 0.0850, 0, 0 ; baltic sea, 0.0767, 2, 5 ; security policy, 0.0763, 2, 3 ; says peter juel, 0.0447, 1, 4 ; bornholm also, 0.0445, 1, 2",0.5667,1.0,peter juel jensen ; baltic sea ; security policy ; says peter juel ; bornholm also
reg,37,10,9.736599,6.227772,"christa lodahl, 0.0185, 1, 11 ; 10 million, 0.0172, 1, 2 ; 31 billion, 0.0168, 1, 1 ; nuclear power, 0.0145, 3, 12 ; energy islands bornholm, 0.0136, 8, 61",0.1333,0.0,christa lodahl ; 10 million ; 31 billion ; nuclear power ; energy islands bornholm
reg,38,7,7.3529434,7.980599,"sustainable energy, 0.1336, 3, 3 ; really good, 0.0901, 1, 1 ; land sea, 0.0463, 2, 2 ; green island, 0.0219, 2, 3 ; energy projects, 0.0184, 1, 4",0.1818,0.0,sustainable energy ; really good ; land sea ; green island ; energy projects
reg,39,28,6.6609864,6.543463,"social democracy, 0.0166, 10, 44 ; municipal council, 0.0150, 13, 45 ; morten riis, 0.0149, 3, 18 ; top candidate, 0.0144, 4, 14 ; jacob consolation, 0.0109, 12, 29",0.3119,1.0,social democracy ; municipal council ; morten riis ; top candidate ; jacob consolation
reg,40,10,8.872122,6.0491834,"development bornholm, 0.0237, 2, 4 ; land plant, 0.0157, 5, 11 ; says lea wermelin, 0.0132, 3, 9 ; hydrogen production, 0.0127, 5, 21 ; 90 hectares, 0.0127, 1, 2",0.3333,1.0,development bornholm ; land plant ; says lea wermelin ; hydrogen production ; 90 hectares
reg,41,13,5.7257123,6.272015,"labor market, 0.0259, 2, 5 ; says klaus, 0.0186, 1, 3 ; municipal council, 0.0154, 5, 10 ; island baltic sea, 0.0135, 1, 1 ; young people, 0.0134, 1, 3",0.1524,0.0,labor market ; says klaus ; municipal council ; island baltic sea ; young people
reg,42,19,6.8833084,6.4284744,"united states, 0.0175, 1, 7 ; european countries, 0.0136, 2, 2 ; state aid, 0.0121, 7, 23 ; energy security, 0.0115, 1, 1 ; energy islands bornholm, 0.0111, 18, 70",0.1333,0.0,united states ; european countries ; state aid ; energy security ; energy islands bornholm
reg,43,7,7.329791,6.5172653,"security policy, 0.0791, 5, 17 ; critical infrastructure, 0.0738, 4, 7 ; war ukraine, 0.0553, 5, 9 ; citizens association energy, 0.0295, 0, 0 ; association energy islands, 0.0291, 2, 7",0.5524,1.0,security policy ; critical infrastructure ; war ukraine ; citizens association energy ; association energy islands
reg,44,2,6.14772,7.0561676,"people meeting, 0.3438, 0, 0 ; national assembly, 0.0912, 1, 1 ; municipal council, 0.0527, 1, 4 ; frederik tolstrup, 0.0405, 1, 1 ; food school, 0.0355, 1, 1",0.3333,1.0,people meeting ; national assembly ; municipal council ; frederik tolstrup ; food school
reg,45,15,6.837444,7.5887713,"business park, 0.0150, 5, 14 ; lone reppien thomsen, 0.0140, 1, 4 ; meeting energy, 0.0122, 2, 5 ; new businesses, 0.0122, 6, 10 ; linda kofoed persson, 0.0122, 1, 12",0.2133,1.0,business park ; lone reppien thomsen ; meeting energy ; new businesses ; linda kofoed persson
reg,46,13,5.6611614,6.3279643,"municipal council, 0.0476, 11, 47 ; 000 kroner, 0.0323, 5, 20 ; dkk million, 0.0287, 0, 0 ; social democracy, 0.0285, 7, 60 ; unity list, 0.0278, 9, 35",0.5026,1.0,municipal council ; 000 kroner ; dkk million ; social democracy ; unity list
reg,47,11,7.9484496,6.934242,"bornholm offshore wind, 0.0407, 1, 1 ; 000 inhabitants, 0.0404, 2, 2 ; took place, 0.0152, 1, 1 ; energy project, 0.0135, 3, 5 ; rural areas, 0.0130, 2, 6",0.1333,0.0,bornholm offshore wind ; 000 inhabitants ; took place ; energy project ; rural areas
